Class,reg,max
osteo,5,18
osteo,8,14
osteo,7,18
osteo,9,14
osteo,12,18
osteo,8,14
osteo,9,18
osteo,8,14
osteo,7,14
osteo,10,18
osteo,7,18
osteo,8,14
osteo,6,14
osteo,6,18
osteo,4,18
osteo,4,14
osteo,7,18
osteo,5,14
osteo,6,16
osteo,6,18
osteo,7,16
osteo,7,14
osteo,8,18
osteo,14,14
osteo,4,16
osteo,3,16
osteo,6,18
osteo,8,14
osteo,13,14
osteo,8,18
osteo,4,16
osteo,3,16
osteo,10,14
osteo,7,18
osteo,7,16
osteo,9,18
osteo,12,14
osteo,4,16
badm_c,10,12
badm_c,12,12
badm_c,6,12
badm_c,10,12
badm_c,5,12
badm_c,11,12
badm_c,5,12
badm_c,11,12
badm_c,11,12
badm_c,15,16
badm_c,16,16
badm_c,10,12
badm_c,12,12
badm_c,20,20
badm_c,10,12
badm_c,10,12
badm_c,8,12
badm_c,9,12
badm_c,11,12
badm_c,12,12
badm_c,8,12
badm_c,12,12
badm_c,11,12
badm_c,6,12
badm_c,7,12
badm_c,11,12
badm_c,19,20
badm_c,11,12
badm_c,12,12
badm_c,8,12
badm_c,6,12
badm_c,8,12
badm_c,11,12
badm_c,9,12
badm_c,16,16
badm_c,12,12
badm_c,12,12
badm_c,10,12
badm_c,12,12
badm_c,11,12
badm_c,6,12
badm_c,10,12
badm_c,4,12
